ID,RFAM#,Architecture,Clan,Family
F469,RF00202,hairpin,C/D-box,snoR66
F470,RF00203,hairpin,C/D-box,snoR160
F471,RF00204,hairpin,C/D-box,snoR12
F223,RF00205,hairpin,C/D-box,snoR41
F32,RF00206,hairpin,C/D-box,U54
F472,RF00207,hairpin,K10_TLS,K10_TLS
F473,RF00208,hairpin,C/D-box,snoR72
F62,RF00209,IRES_multi_domain,IRES_Pesti,IRES_Pesti
F474,RF00210,IRES_multi_domain,IRES_Picorna_2,IRES_Picorna_2
F184,RF00211,hairpin,C/D-box,SNORD35
F160,RF00212,hairpin,C/D-box,SNORD38
F475,RF00213,hairpin,C/D-box,snoR38
F476,RF00214,2H,Retro_dr1,Retro_dr1
F477,RF00215,2H,Tombus_3_III,Tombus_3_III
F478,RF00216,IRES_multi_domain,IRES_c-myc,IRES_c-myc
F479,RF00217,hairpin,C/D-box,SNORD20
F200,RF00218,hairpin,C/D-box,SNORD46
F480,RF00220,hairpin,Rhino_CRE,Rhino_CRE
F196,RF00221,hairpin,C/D-box,SNORD43
F481,RF00222,IRES_multi_domain,IRES_Bag1,IRES_Bag1
F482,RF00223,IRES_multi_domain,IRES_Bip,IRES_Bip
F483,RF00224,IRES_multi_domain,IRES_FGF2,IRES_FGF2
F484,RF00225,IRES_multi_domain,IRES_Tobamo,IRES_Tobamo
F485,RF00226,IRES_multi_domain,IRES_n-myc,IRES_n-myc
F486,RF00227,hairpin,FIE3,FIE3
F487,RF00228,IRES_multi_domain,IRES_HepA,IRES_HepA
F488,RF00229,IRES_multi_domain,IRES_Picorna,IRES_Picorna
F489,RF00230,complex unclassified,T-box,T-box
F490,RF00231,2H,H/ACA-box,SCARNA13
F491,RF00232,complex unclassified,Spi-1,Spi-1
F492,RF00233,tRNA-like,tRNA,Tymo_tRNA-like
F493,RF00234,4H,glmS,glmS
F494,RF00235,4H,Plasmid_RNAIII,Plasmid_RNAIII
F495,RF00236,2H,ctRNA_pGA1,ctRNA_pGA1
F496,RF00237,hairpin,miRNA2,mir-9
F497,RF00238,2H,ctRNA_pND324,ctRNA_pND324
F498,RF00239,hairpin,mir-124,mir-124
F499,RF00240,hairpin,RNA-OUT,RNA-OUT
F500,RF00241,hairpin,miRNA2,mir-8
F501,RF00242,2H,ctRNA_pT181,ctRNA_pT181
F60,RF00243,2H,FinP-traJ,traJ_5
F502,RF00244,hairpin,miRNA2,mir-26
F329,RF00245,hairpin,miRNA2,mir-19
F503,RF00246,hairpin,miRNA2,mir-135
F504,RF00247,hairpin,miRNA1,mir-160
F505,RF00248,hairpin,miRNA2,mir-148
F506,RF00249,hairpin,miRNA2,mir-46
F507,RF00250,hairpin,miRNA2,mir-TAR
F508,RF00251,hairpin,miRNA2,mir-219
F509,RF00252,complex unclassified,Alfamo_CPB,Alfamo_CPB
F510,RF00253,hairpin,miRNA2,mir-101
F266,RF00254,hairpin,miRNA2,mir-16
F511,RF00255,hairpin,miRNA2,mir-218
F512,RF00256,hairpin,miRNA2,mir-196
F513,RF00257,hairpin,miRNA2,mir-194
F514,RF00258,hairpin,miRNA2,mir-130
F515,RF00259,complex unclassified,IFN_gamma,IFN_gamma
F516,RF00260,hairpin,HepC_CRE,HepC_CRE
F517,RF00261,IRES_multi_domain,IRES_L-myc,IRES_L-myc
F518,RF00262,2H,sar,sar
F519,RF00263,2H,H/ACA-box,SNORA68
F134,RF00264,2H,H/ACA-box,SNORA64
F520,RF00265,2H,H/ACA-box,SNORA69
F171,RF00266,hairpin,C/D-box,snoZ17
F521,RF00267,hairpin,C/D-box,snoR64
F188,RF00268,hairpin,C/D-box,snoZ7
F219,RF00270,hairpin,C/D-box,SNORD61
F214,RF00271,hairpin,C/D-box,SNORD60
F522,RF00272,2H,H/ACA-box,SNORA67
F212,RF00273,hairpin,C/D-box,SNORD59
F193,RF00274,hairpin,C/D-box,SNORD57
F523,RF00275,hairpin,C/D-box,SNORD56
F205,RF00276,hairpin,C/D-box,SNORD52
F202,RF00277,hairpin,C/D-box,SNORD49
F524,RF00278,hairpin,C/D-box,SNORD50
F525,RF00279,hairpin,C/D-box,SNORD45
F176,RF00280,hairpin,C/D-box,SNORD51
F526,RF00281,hairpin,C/D-box,SNORD47
F527,RF00282,hairpin,C/D-box,SNORD48
F528,RF00283,hairpin,C/D-box,SCARNA18
F227,RF00284,hairpin,C/D-box,SNORD74
F529,RF00285,hairpin,C/D-box,snoZ6
F530,RF00286,2H,H/ACA-box,SCARNA8
F198,RF00287,hairpin,C/D-box,SNORD44
F531,RF00288,hairpin,C/D-box,snoZ30
F250,RF00289,hairpin,C/D-box,SNORND104
F532,RF00290,4H,BaMV_CRE,BaMV_CRE
F533,RF00291,2H,H/ACA-box,snoR639
F534,RF00292,hairpin,C/D-box,snoTBR5
F535,RF00293,2H,H/ACA-box,snoM1
F536,RF00294,hairpin,C/D-box,snoTBR17
F537,RF00295,hairpin,C/D-box,snoTBR7
F538,RF00296,hairpin,C/D-box,snoR16
F539,RF00300,hairpin,C/D-box,snoZ221_snoR21b
F540,RF00301,hairpin,C/D-box,snoZ256
F136,RF00302,2H,H/ACA-box,SNORA65
F541,RF00303,2H,H/ACA-box,snoR86
F258,RF00304,hairpin,C/D-box,snoZ279_R105_R108
F542,RF00305,hairpin,C/D-box,snoZ248
F543,RF00306,hairpin,C/D-box,snoZ178
F121,RF00307,2H,H/ACA-box,snoR98
F234,RF00309,hairpin,C/D-box,snosnR60_Z15
F544,RF00310,hairpin,C/D-box,snoZ165
F545,RF00311,hairpin,C/D-box,snoZ188
F546,RF00312,hairpin,C/D-box,snoZ206
F547,RF00313,hairpin,C/D-box,snoZ173
F548,RF00314,hairpin,C/D-box,snoZ182
F549,RF00315,hairpin,C/D-box,snoJ33
F550,RF00316,hairpin,C/D-box,snoR43
F551,RF00317,hairpin,C/D-box,snoZ163
F552,RF00318,hairpin,C/D-box,snoZ175
F553,RF00319,2H,H/ACA-box,SNORA23
F554,RF00320,hairpin,C/D-box,snoZ185
F555,RF00321,hairpin,C/D-box,snoZ247
F556,RF00322,2H,H/ACA-box,SNORA31
F557,RF00323,hairpin,C/D-box,snoR79
F558,RF00324,hairpin,C/D-box,snoMBII-202
F206,RF00325,hairpin,C/D-box,SNORD53_SNORD92
F559,RF00326,hairpin,C/D-box,snoZ155
F560,RF00327,hairpin,C/D-box,snoZ194
F185,RF00328,hairpin,C/D-box,snoZ161_228
F561,RF00329,hairpin,C/D-box,snoZ162
F562,RF00330,hairpin,C/D-box,snoZ43
F563,RF00331,hairpin,C/D-box,snoZ169
F564,RF00332,hairpin,C/D-box,snoZ266
F207,RF00333,hairpin,C/D-box,snoZ157
F75,RF00334,2H,H/ACA-box,SNORA3
F565,RF00335,hairpin,C/D-box,snoZ13_snr52
F566,RF00336,hairpin,C/D-box,snoJ26
F203,RF00337,hairpin,C/D-box,snoZ112
F256,RF00338,hairpin,C/D-box,snoR53
F245,RF00339,hairpin,C/D-box,snoR60
F110,RF00340,2H,H/ACA-box,SNORA36
F567,RF00341,hairpin,C/D-box,snoZ39
F568,RF00342,hairpin,C/D-box,snoZ40
F569,RF00343,hairpin,C/D-box,snoZ122
F570,RF00344,hairpin,C/D-box,snoZ267
F215,RF00345,hairpin,C/D-box,snoR1
F571,RF00348,hairpin,C/D-box,snoR9_plant
F572,RF00349,hairpin,C/D-box,snoR11
F573,RF00350,hairpin,C/D-box,snoZ152
F574,RF00351,hairpin,C/D-box,snoR20
F575,RF00352,hairpin,C/D-box,snoR21
F576,RF00353,hairpin,C/D-box,snoR31_Z110_Z27
F577,RF00355,hairpin,C/D-box,snoR28
F578,RF00356,hairpin,C/D-box,snoR32_R81
F228,RF00357,hairpin,C/D-box,snoR44_J54
F189,RF00358,hairpin,C/D-box,snoZ101
F199,RF00359,hairpin,C/D-box,snoZ102_R77
F579,RF00360,hairpin,C/D-box,snoZ107_R87
F580,RF00361,hairpin,C/D-box,snoZ119
F581,RF00362,hairpin,Pospi_RY,Pospi_RY
F295,RF00363,hairpin,miRNA2,mir-BART1
F582,RF00364,hairpin,miRNA2,mir-BART2
F583,RF00365,hairpin,miRNA2,mir-BHRF1-1
F584,RF00366,hairpin,miRNA2,mir-BHRF1-2
F585,RF00367,hairpin,miRNA2,mir-BHRF1-3
F586,RF00368,3H,sroB,sroB
F587,RF00369,3WJ,sroC,sroC
F588,RF00370,2H,sroD,sroD
F589,RF00371,2H,sroE,sroE
F590,RF00372,hairpin,sroH,sroH
F12,RF00373,RNaseP,RNaseP,RNaseP_arch
F591,RF00374,3H,Gammaretro_CES,Gammaretro_CES
F592,RF00375,3WJ,HIV_PBS,HIV_PBS
F593,RF00376,hairpin,HIV_GSL3,HIV_GSL3
F594,RF00377,hairpin,C/D-box,snoU6-53
F595,RF00378,3H,Qrr,Qrr
F596,RF00379,complex unclassified,ydaO-yuaA,ydaO-yuaA
F597,RF00380,complex unclassified,ykoK,ykoK
F598,RF00381,pseudoknot_simple,Antizyme_FSE,Antizyme_FSE
F599,RF00382,hairpin,DnaX,DnaX
F600,RF00383,3WJ,IS1222_FSE,IS1222_FSE
F601,RF00384,2H,Pox_AX_element,Pox_AX_element
F602,RF00385,hairpin,IBV_D-RNA,IBV_D-RNA
F603,RF00386,4WJ,Entero_5_CRE,Entero_5_CRE
F604,RF00387,IRES_multi_domain,IRES_FGF1,IRES_FGF1
F605,RF00388,3WJ,Anti-Q_RNA,Anti-Q_RNA
F606,RF00389,4WJ,satBaMV_CRE,satBaMV_CRE
F607,RF00390,pseudoknot_simple,UPSK,UPSK
F608,RF00391,3WJ,RtT,RtT
F79,RF00392,2H,H/ACA-box,SNORA5
F83,RF00393,2H,H/ACA-box,SNORA8
F77,RF00394,2H,H/ACA-box,SNORA4
F89,RF00396,2H,H/ACA-box,SNORA13
F609,RF00397,2H,H/ACA-box,SNORA14
F610,RF00398,2H,H/ACA-box,SNORA15
F611,RF00399,2H,H/ACA-box,SNORA24
F103,RF00400,2H,H/ACA-box,SNORA28
F94,RF00401,2H,H/ACA-box,SNORA20
F612,RF00402,2H,H/ACA-box,SNORA25
F613,RF00403,2H,H/ACA-box,SNORA41
F614,RF00404,2H,H/ACA-box,SNORA46
F114,RF00405,2H,H/ACA-box,SNORA44
F615,RF00406,2H,H/ACA-box,SNORA42
F106,RF00407,2H,H/ACA-box,SNORA50
F616,RF00408,2H,H/ACA-box,SNORA1
F81,RF00409,2H,H/ACA-box,SNORA7
F70,RF00410,2H,H/ACA-box,SNORA2
F85,RF00411,2H,H/ACA-box,SNORA9
F96,RF00412,2H,H/ACA-box,SNORA21
F617,RF00413,2H,H/ACA-box,SNORA19
F618,RF00414,2H,H/ACA-box,SNORA22
F619,RF00415,2H,H/ACA-box,SNORA30
F92,RF00416,2H,H/ACA-box,SNORA43
F128,RF00417,2H,H/ACA-box,SNORA56
F115,RF00418,2H,H/ACA-box,SNORA58
F122,RF00419,2H,H/ACA-box,SNORA52
F620,RF00420,2H,H/ACA-box,SNORA61
F621,RF00421,2H,H/ACA-box,SNORA32
F63,RF00422,2H,H/ACA-box,SCARNA24
F65,RF00423,2H,H/ACA-box,SCARNA4
F622,RF00424,2H,H/ACA-box,SCARNA16
F123,RF00425,2H,H/ACA-box,SNORA18
F66,RF00426,2H,H/ACA-box,SCARNA15
F623,RF00427,2H,H/ACA-box,SCARNA23
F624,RF00428,2H,H/ACA-box,SNORA38
F95,RF00429,2H,H/ACA-box,SNORA29
F107,RF00430,2H,H/ACA-box,SNORA54
F625,RF00431,2H,H/ACA-box,SNORA55
F626,RF00432,2H,H/ACA-box,SNORA51
F627,RF00433,3WJ,Hsp90_CRE,Hsp90_CRE
F628,RF00434,4WJ,BTE,BTE
F629,RF00435,3H,ROSE,ROSE
F630,RF00436,hairpin,UnaL2,UnaL2
F631,RF00437,2H,HLE,HLE
F632,RF00438,2H,H/ACA-box,SNORA33
F633,RF00439,hairpin,C/D-box,SNORD87
F634,RF00440,hairpin,C/D-box,SNORD37
F635,RF00441,hairpin,C/D-box,snoZ242
F636,RF00442,2H,ykkC-yxkD,ykkC-yxkD
F99,RF00443,2H,H/ACA-box,SNORA27
F637,RF00444,4H,PrrF,PrrF
F638,RF00445,hairpin,miRNA1,mir-399
F639,RF00446,hairpin,miRNA2,mir-133
F640,RF00447,IRES_multi_domain,IRES_Kv1_4,IRES_Kv1_4
F641,RF00448,IRES_multi_domain,IRES_EBNA,IRES_EBNA
F642,RF00449,IRES_multi_domain,IRES_HIF1,IRES_HIF1
F643,RF00451,hairpin,miRNA1,mir-395
F644,RF00452,hairpin,miRNA1,mir-172
F645,RF00453,hairpin,Cardiovirus_CRE,Cardiovirus_CRE
F646,RF00454,2H,p27_CRE,p27_CRE
F267,RF00455,hairpin,mir-15,mir-15
F270,RF00456,hairpin,miRNA2,mir-34
F647,RF00457,IRES_multi_domain,IRES_mnt,IRES_mnt
F648,RF00458,IRES_multi_domain,IRES_Cripavirus,IRES_Cripavirus
F649,RF00459,complex unclassified,MPMV_package,MPMV_package
F650,RF00460,hairpin,U1A_PIE,U1A_PIE
F651,RF00461,IRES_multi_domain,IRES_VEGF_A,IRES_VEGF_A
F652,RF00462,hairpin,IRES_APC,IRES_APC
F653,RF00463,complex unclassified,ApoB_5_CRE,ApoB_5_CRE
F654,RF00464,hairpin,miRNA2,mir-92
F655,RF00465,hairpin,JEV_hairpin,JEV_hairpin
F656,RF00467,hairpin,RSV_PBS,RSV_PBS
F657,RF00468,hairpin,HCV_SLVII,HCV_SLVII
F658,RF00469,hairpin,HCV_SLIV,HCV_SLIV
F659,RF00470,complex unclassified,Toga_5_CRE,Toga_5_CRE
F216,RF00471,hairpin,C/D-box,snosnR48
F177,RF00472,hairpin,C/D-box,snosnR55
F213,RF00473,hairpin,C/D-box,snosnR54
F660,RF00474,hairpin,C/D-box,snosnR57
F161,RF00475,hairpin,C/D-box,snosnR69
F162,RF00476,hairpin,C/D-box,snosnR61
F661,RF00477,hairpin,C/D-box,snosnR66
F662,RF00478,2H,H/ACA-box,SCARNA6
F163,RF00479,hairpin,C/D-box,snosnR71
F663,RF00480,hairpin,HIV_FE,HIV_FE
F664,RF00481,3H,HCV_X2,HCV_X3
F665,RF00482,2H,H/ACA-box,snoF1_F2
F666,RF00483,IRES_multi_domain,IRES_IGF2,IRES_IGF2
F667,RF00484,IRES_multi_domain,IRES_Cx32,IRES_Cx32
F668,RF00485,hairpin,K_chan_RES,K_chan_RES
F669,RF00486,hairpin,miRNA2,mir-129
F670,RF00487,IRES_multi_domain,IRES_Cx43,IRES_Cx43
F26,RF00488,U1_snRNA,U1,U1_yeast
F671,RF00489,hairpin,ctRNA_p42d,ctRNA_p42d
F672,RF00490,hairpin,S-element,S-element
F673,RF00492,hairpin,C/D-box,SCARNA17
F674,RF00493,hairpin,C/D-box,snoU2-30
F675,RF00494,hairpin,C/D-box,snoU2_19
F676,RF00495,IRES_multi_domain,IRES_Hsp70,IRES_Hsp70
F677,RF00496,hairpin,Corona_SL-III,Corona_SL-III
F678,RF00498,hairpin,EAV_LTH,EAV_LTH
F679,RF00499,complex unclassified,Parecho_CRE,Parecho_CRE
F680,RF00500,hairpin,TCV_H5,TCV_H5
F681,RF00501,hairpin,Rota_CRE,Rota_CRE
F682,RF00502,hairpin,TCV_Pr,TCV_Pr
F683,RF00503,complex unclassified,RNAIII,RNAIII
F684,RF00504,3WJ,Glycine,Glycine
F685,RF00505,pseudoknot_simple,RydC,RydC
F686,RF00506,2H,Thr_leader,Thr_leader
F687,RF00507,pseudoknot_simple,Corona_FSE,Corona_FSE
F229,RF00509,hairpin,C/D-box,snosnR64
F688,RF00510,hairpin,Tombus_IRE,Tombus_IRE
F689,RF00511,IRES_multi_domain,IRES_KSHV,IRES_KSHV
F690,RF00512,2H,Leu_leader,Leu_leader
F691,RF00513,2H,Trp_leader,Trp_leader
F692,RF00514,3H,His_leader,His_leader
F693,RF00515,3H,PyrR,PyrR
F694,RF00516,3H,ylbH,ylbH
F695,RF00517,2H,serC,serC
F696,RF00518,complex unclassified,speF,speF
F327,RF00519,2H,suhB,suhB
F697,RF00520,hairpin,ybhL,ybhL
F698,RF00521,hairpin,SAM_alpha,SAM_alpha
F699,RF00522,hairpin,PreQ1,PreQ1
F700,RF00523,hairpin,Prion_pknot,Prion_pknot
F701,RF00524,3WJ,R2_retro_el,R2_retro_el
F702,RF00525,3WJ,Flavivirus_DB,Flavivirus_DB
F703,RF00526,hairpin,C/D-box,snoMe28S-U3344
F217,RF00527,hairpin,C/D-box,snoMe28S-G3255
F704,RF00528,hairpin,C/D-box,snoMe28S-Gm1083
F705,RF00529,hairpin,C/D-box,snoMe28S-Am2589
F230,RF00530,hairpin,C/D-box,snoMe28S-Cm2645
F706,RF00531,hairpin,C/D-box,snoMe28S-Gm3113
F178,RF00532,hairpin,C/D-box,snoMe18S-Um1356
F707,RF00533,hairpin,C/D-box,snoMe18S-Gm1358
F708,RF00534,complex unclassified,SgrS,SgrS
F179,RF00535,hairpin,C/D-box,snoMe28S-Am982
F709,RF00536,hairpin,C/D-box,snoMe28S-Cm3227
F710,RF00537,hairpin,C/D-box,snoMe28S-Am2634
F711,RF00538,hairpin,C/D-box,snoCD11
F712,RF00539,hairpin,C/D-box,snoMe28S-Cm788
F713,RF00540,2H,H/ACA-box,snopsi18S-1854
F714,RF00541,2H,H/ACA-box,snopsi28S-2876
F715,RF00542,2H,H/ACA-box,snopsi28S-1192
F716,RF00543,2H,H/ACA-box,snopsi18S-1377
F71,RF00544,2H,H/ACA-box,snopsi28S-3327
F104,RF00545,2H,H/ACA-box,snopsi18S-841
F717,RF00546,2H,H/ACA-box,snopsi28S-3316
F718,RF00547,IRES_multi_domain,IRES_TrkB,IRES_TrkB
F27,RF00548,U1_snRNA,U1,U11
F719,RF00549,IRES_multi_domain,IRES_c-sis,IRES_c-sis
F720,RF00550,2H,HepE_CRE,HepE_CRE
F721,RF00551,complex unclassified,bicoid_3,bicoid_3
F722,RF00552,3H,rncO,rncO
F723,RF00553,2H,H/ACA-box,SCARNA1
F118,RF00554,2H,H/ACA-box,SNORA48
F724,RF00555,hairpin,L13_leader,L13_leader
